movie,user_review_permalink,user_review
My Neighbor Totoro,https://www.imdb.com/review/rw1931368/,"I was initially skeptical on the quality of this one, but surprisingly this film was both engaging and beautiful from start to finish. Loosely based on Miyazakis own childhood, My Neighbor Totoro is a simplistic story with a kind of charm, depth, and broad appeal that makes it irresistible. When two girls move to a new farmhouse to be closer to their ailing mother, they have to deal with some of life's more eccentric experiences, that of impending death and incredible magic. At its heart, its about the uninhibited curiosity of childhood, and the innocence in accepting everything without question, to such an extent that magic is a very real reality. The otherworldly in this film, comes in the form of Totoro, an animal spirit who is the guardian of the forest near the girls home. Overall, this film is absolutely spectacular. Kids will love it, though some of the deeper meaning will be lost on them. Adults will also love it, as a nostalgic ride through childhood and for some of the more profound themes running throughout the film. Technically, though made in 1988, the animation in this film looks every bit as stunning today. Totoros forest and the many quiet landscape shots are absolutely gorgeous. Disney, eat your heart out. The film is paced slow, letting the film unfurl at a relaxing pace through its scant 86 minute runtime. The lethargic pace, along with Miyazakis expressive camera pans and attention to detail lend the girls discovery of their home/the forest, the famous cat bus scene, and every moment with Totoro a very 360 degree, hypnotic feel. The new English dub is well done without losing much in translation, retaining the witty and lighthearted exchanges from the original. Overall, this films serves as a great introduction into the world of Miyazaki, and remains a timeless classic in its own right. Miyazakis most lighthearted venture also remains his most introspective and grounded work. Even without the whimsicality of Spirited Away and Kikis Delivery Service, this is by far his most engaging and charming film. Essential viewing."
My Neighbor Totoro,https://www.imdb.com/review/rw0263078/,"Picture if you will, a 27 year old male, scanning through his dvd collection, trying to figure out what to watch, on a boring night at home. Suddenly, he stops at My Neighbor Totoro and smiles.  Well, that's a pretty typical happenning around the house here.Miyazaki created a true masterpiece with this film.  It has everything a person, of any age, could want.  There are points that it is hilarious, a few points where it makes one slightly nervous, the animation is outstanding (as with all Miyazaki films), and aside from lacking a little bit in plot (what movie doesn't nowadays?), the story is wonderful.One of the things that makes this film shine, at least for me, is that there is absolutely no antagonist role.  No bad guy whatsoever, and only a genius like Miyazaki could pull that off.Is this a childrens movie?  Yes, of course it is.  Is it a movie only for children?  Well...  maybe for the inner child inside all of us.  There's humour in this movie that the young will laugh at, and there's a bit of humour in the movie that only adults will fully catch and appreciate, without it being ""adult humour"".I would reccommend, and have reccommended this film to anyone that would listen.Thank you again Miyazaki Sensei."
My Neighbor Totoro,https://www.imdb.com/review/rw1025088/,"From the brilliant ""Walt Disney of Japan"", Hayao Miyazaki, comes a wonderful soothing film that everyone will simply embrace. Featuring stunning animation, endearing personable characters, and a heart-tugging storyline that's simple, enchanting, and even dramatic.Sometimes you feel like you're not watching an animated children's movie, because the characters (particularly the children) and the storyline seem so realistic. There's no bad guy, no song numbers, and no references to pop-culture. Most cartoons (especially Disney) feature these and it gets old and routine. Here we have a break from all of that and get a real masterpiece.Miraculously, Totoro doesn't talk, and yet you can still understand what the lovable furry creature is thinking with his endearing actions. And the six-legged CatBus is undeniably one of the most imaginative characters in animation history. And the human characters are also remarkable. Mei and Satsuki act like little girls, not like kids who are smarter than adults (a routine toons today are guilty of).I loved Totoro when I was a small child and I always will. When I have children of my own someday, I will show them Totoro instead of toy commercials like Dora and Elmo's world.BOTTOM LINE: A masterpiece... pure and simple."
My Neighbor Totoro,https://www.imdb.com/review/rw5763707/,"Can give this cruel world so much warmth. My Neighbor Totoro is like a dream in my childhood. I seem to have forgotten when I grew up. When I suddenly saw its furry body, I remembered all my extravagance. This is probably what we can comfort each other in loneliness. In any case, maturity is a disease, and the only cure for it is probably the most tender desire in the world."
My Neighbor Totoro,https://www.imdb.com/review/rw1309416/,"What more can be said about MY NEIGHBOR TOTORO? Get this movie. Immediately. Without a doubt one of the best animated features ever made, Japan or otherwise, TOTORO is an outstanding original creation from Hayao Miyazaki and Studio Ghibli. It's about two sisters -- Satsuki and spunky little Mei -- moving with their somewhat scatterbrained but loving father to a new home in the Japanese countryside. But the place isn't just deserted; wonders galore lie within their household. Tiny, fuzzy black balls of soot (""Soot Gremlins"") scatter every nook and cranny of the walls, frightened away only by laughter. A tall, luscious camphor tree towers above the other trees in the back yard. And, lastly, the Totoros themselves, absolutely adorable little creatures who look like a cross between a raccoon, rabbit, owl, and guinea pig (a personal bias here, since I owned such a pet who reminds me so much of the Totoros here), live in this very forest, carrying acorns, making huge trees grow at night, and playing ocarinas on the branches of the trees. There is even one really BIG Totoro who sleeps under the tree, so cuddlesome and gentle that you'll swear that he's the equivalent of your pet. Of course, he doesn't just allow Mei to snuggle on his chest. He lets out thunderous roars, shake the ground by jumping with full force, grins as wide as a Cheshire cat (albeit with warmth and generosity), helps others when they're in trouble, and gives acorns wrapped in bamboo leaves in return for gifts. The story isn't all hearts and flowers, however. An emotionally charged subplot involving the sisters' ailing mother (shades of Miyazaki's personal life here) gives TOTORO a dramatic edge. This is particularly evident in the third act, when the girls receive a distressing telegram about their mother. Both Satsuki and Mei are extremely traumatized by this as any real child would be if such a situation occurred in their lifetime. What follows is a tearjerking sequence that builds to a truly happy ending. This mixture of real-life situations, emotions, and magical discoveries found in your nearest back yard make TOTORO feel authentic (even with its fantasy elements). One cannot help but find this quality in any of Miyazaki's films, this one included. MY NEIGHBOR TOTORO was not a box office success in either Japan or America, but the film has won over millions of children around the world as well as animation buffs for its gorgeous animation style; the backgrounds are lavishly detailed and imagination is galore in much of the sequences. (It was KIKI'S DELIVERY SERVICE that would catapult Miyazaki's animation company, Studio Ghibli, into box office success status.) The movie was originally dubbed into English by Carl Macek and his infamous company, Streamline Pictures in 1993. Believe it or not, this was one of the ""best"" dubs they've ever produced. As Disney has acquired the rights for Ghibli's movies, though, it was inevitable that they would produce their own version. This has infuriated many, but as someone who fell in love with TOTORO with the Mecak version, I have to say that this new Disney production offers charm and emotion on its own ground. The script is a fresh new translation from the original Japanese (clarifying the origin of Totoro's name), and remains faithful to the meaning of Miyazaki's screenplay, despite a few line changes here and there (nothing major, though). At first, I was a little worried about hearing Dakota and Elle Fanning as Satsuki and Mei, but both ended up captivating me from the start; personally, I think it was great for Disney to cast two actual sisters to play the young girls--it helps their chemistry come alive. The other actors, including a warm, understated Tim Daly, and delightful Lea Salonga provide similarly top quality work. My favorite performances? Pat Carroll, displaying maternal charm and whimsy as Granny (not sounding anything like her most-famous role, Ursula from THE LITTLE MERMAID), and Frank Welker, who does outstanding vocal foley for both Totoro and the Cat Bus. The OP and ED songs have the same lyrics, but are sung by a different singer (Sonya Isaacs), who may please some and annoy others. I'm sure that there will be many who will draw comparisons between the two dubs to the very bitter end, but I think it's great to have more than one adaptation of a beloved story, especially when done by folks who obviously love Miyazaki's works.As far as the long awaited 2-DVD set from Disney goes, the widescreen visual transfer is absolutely gorgeous--Miyazaki's visuals really shine with pristine clarity on the screen, and the Japanese language track features literal subtitles, too. The extras are the same-old voice talent featurette, storyboards, and trailer we saw on most of the other Disney-Ghibli DVDs, which is sparse to say the least, but better than nothing.Folks who want the old dub will obviously flock to the FOX pan & scan DVD, but personally, I'd suggest getting both the FOX and Disney releases--the former for nostalgia, the latter for a more professional sounding upgrade. Either way, however, MY NEIGHBOR TOTORO is far from just another kid's story. With a little bit of luck, grown-ups (and those who consider themselves too ""sophisticated"" for cartoons) will enjoy it too."
My Neighbor Totoro,https://www.imdb.com/review/rw5751940/,"Few would argue against the view that Hayao Miyazaki is the greatest animator of all time. My neighbor Totoro represents the peak of his art. Discussing the plot seems pointless in reviewing this film. It is a wondrous mix of real family drama, charming and unexpected leaps into fantasy and gentle humour that appeals to all ages.The most striking aspect of the film is level of detail in each of the images: the bottle submerged in water shimmering in the light, the detail of the grain in the wood and all the other objects lovingly placed in the scenes. This kind of detail embellishes and enriches all the images. Any one of those frames can be displayed as a painting.If you have not seen it before, do yourself a favour and buy yourself a copy to own. It's the kind of movie you can watch again and again."
My Neighbor Totoro,https://www.imdb.com/review/rw0263092/,"My favorite Miyazaki's movie is ""Princess Mononoke"" on a graphical scale. But on a ""charming scale"", this one is really the best.Even the Disney movies are not so charming than this movie. Poetic, charming, cute, I can't find the words to describe the good this movie made to me. Miyazaki brings us into the wonderlands of the children, better than ""Alice in wonderland"" or ""Peter pan"".In fact, Miyazaki makes us loving children. In the movie, the children run, shout all time, laugh, cry, and so on. In the real world, I hate this. In normal movies I hate this too. But, here, every actions of the two little girls touch us deep in our heart. We learn to love children's world.Every one of us will have a smile on this face, from the beginning to the end of this movie.My favorite scene is the first encounter between Mei and Totoro. It's fun, poetic, and charming. Miyazaki succeeds to make a movie enjoyable for the very little kids (4 y.o.) and for the adult audience. It's very rare to succeed doing that !Really, a masterpiece !10/10 !"
My Neighbor Totoro,https://www.imdb.com/review/rw6213027/,"A very interesting movie that will charm you with its beauty and contain the touch of Miyazaki films, and unlike most films, this movie does not contain an evil character."
My Neighbor Totoro,https://www.imdb.com/review/rw0263014/,"This movie, set in Japan in the early fifties, is director Miyazaki's tribute to his mother (who suffered from tuberculosis, just like Satsuki and Mei's mother), his childhood home, and childhood innocence.  Although some people who watch this movie wonder where the Americans are (this is post-WWII Japan, after all) and why so little screen time is spent on the girls' mother, but that may be partly due to the dubbing.Americans: First of all, the house the girls move into is rather European in design (with doorknobs, and an attic, and a front porch) despite the Japanese style bath and occasional sliding door.  Secondly, Mei and Satsuki are really into Western fairy tales (the are brief glimpses of Japanese translations of The Three Billy Goats Gruff and other stories, along with Mei inadvertently re-enacting scenes from Alice in Wonderland and Chronicles of Narnia).  On top of that, according to Helen McCarthy and other Miyazaki experts, the name ""Totoro"" is little Mei's mispronunciation of the Japanese transliteration of the English word ""troll"" (""tororo,"" which the Japanese would pronounce like ""tololo"" because they do not distinguish between r's and l's).  This is why an accurate dubbed version is nearly impossible (like any little girl, Mei mispronounces a lot of words).The Mother: I think this movie is entirely about the mother.  Throughout, you see them subtly (almost too subtly at times) change from completely carefree to terrified with each scene involving the mother.  This parallels Satsuki's coming of age subplot (she's ten and like anyone that age she is self-conscious about believing in Santa, or in this case Totoro).  There's a little bit of both in the culturally-shocking--though completely innocent--bath scene (both girls take a bath with their father during a wind storm).Really, though, My Neighbor Totoro is less about story than it is about the imagination of children.Although the animation is a little dated and a bit jerky at times, the direction is absolutely top notch.  There is enough visual creativity to rival an average Hitchcock film (Miyazaki's a huge fan of Hitch: check out the long wait at the bus stop, which is reminiscent of North by Northwest). Highlights include a Mary Poppins-esque ride on an Oriental top, a beautifully animated storm, Mei's nap on the slowly rising and falling chest of the giant totoro, and a cat-bus complete with headlight eyes."
My Neighbor Totoro,https://www.imdb.com/review/rw0263094/,"I'm a big fan of Hayao Miyazaki's work and was rather disappointed that this movie did not have the Japanese language/English subtitles option. But, I've finally seen it and must admit that it is incredibly cute. One does NOT have to be a child to enjoy this movie or any of Miyazaki's movies. The story line was good and and the characters were really touching. The totoros were so adorable that I want a plushie of one. I also loved the artwork. I finally know what some of the scenes are from in the AMVs that I've seen. I would definitely recommend this to families as well as to those who are Miyazaki fans. A definite thumbs up. Though I do wonder where Miyazaki gets some of the ideas for his characters such as that cat bus."
